dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
20,4.0,0.0,11.0,5.0,0.0,0.0,0.0,2,0.42,0.4242,0.67,0.3,85.04332374834837
28,4.0,0.0,12.0,3.0,0.0,4.0,1.0,1,0.22,0.3333,0.66,0.1,78.87065311565806
24,4.0,0.0,9.0,5.0,0.0,6.0,0.0,2,0.56,0.5303,0.94,0.1,55.49362483201168
11,4.0,0.0,12.0,4.0,0.0,0.0,0.0,1,0.16,0.1667,0.59,0.2,63.127458992248364
10,4.0,0.0,10.0,21.0,1.0,1.0,0.0,1,0.56,0.5303,0.88,0.1,40.449659368791
6,1.0,0.0,2.0,7.0,0.0,0.0,0.0,1,0.24,0.2424,0.65,0.2,85.13892246703776
7,1.0,1.0,3.0,2.0,0.0,3.0,1.0,1,0.3,0.2879,0.56,0.3,64.71340329968777
3,3.0,0.0,7.0,5.0,0.0,0.0,0.0,3,0.62,0.5758,0.83,0.2,54.7250187334084
10,1.0,0.0,1.0,3.0,0.0,0.0,1.0,1,0.12,0.1212,0.5,0.2,53.2521989729205
21,2.0,1.0,5.0,3.0,0.0,1.0,1.0,2,0.56,0.5303,0.88,0.3,135.083832251839
20,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2,0.24,0.2576,0.87,0.1,61.183455824148055
3,4.0,1.0,12.0,2.0,0.0,1.0,1.0,1,0.42,0.4242,0.77,0.2,68.58061618888748
17,1.0,1.0,1.0,20.0,0.0,2.0,1.0,1,0.46,0.4545,0.63,0.4,40.16687964224858
24,4.0,1.0,9.0,2.0,0.0,1.0,1.0,2,0.46,0.4545,0.63,0.1,74.30590552806177
7,2.0,0.0,4.0,2.0,0.0,4.0,1.0,1,0.42,0.4242,0.54,0.0,41.413819547375525
11,1.0,1.0,3.0,20.0,0.0,0.0,0.0,1,0.44,0.4394,0.47,0.2,49.15086671301198
27,2.0,1.0,5.0,4.0,0.0,0.0,0.0,1,0.62,0.5758,0.83,0.2,42.182742919188186
18,2.0,1.0,4.0,2.0,0.0,3.0,1.0,2,0.5,0.4848,0.42,0.2,52.680021544828946
23,4.0,0.0,10.0,4.0,0.0,0.0,0.0,1,0.34,0.3636,0.87,0.0,65.54763728409846
18,2.0,1.0,4.0,2.0,0.0,3.0,1.0,2,0.5,0.4848,0.42,0.2,52.680021544828946
21,2.0,1.0,5.0,3.0,0.0,1.0,1.0,2,0.56,0.5303,0.88,0.3,135.083832251839
18,1.0,1.0,2.0,22.0,0.0,6.0,0.0,1,0.4,0.4091,0.4,0.4,45.13890028237824
12,4.0,1.0,11.0,3.0,1.0,1.0,0.0,1,0.4,0.4091,0.76,0.1,113.74972125033199
17,3.0,0.0,8.0,3.0,0.0,3.0,1.0,1,0.64,0.5909,0.78,0.0,83.04564656764248
8,1.0,1.0,3.0,2.0,0.0,4.0,1.0,1,0.46,0.4545,0.63,0.4,45.46824947854902
2,4.0,0.0,11.0,3.0,0.0,3.0,1.0,1,0.3,0.3333,0.75,0.0,100.82734407663237
14,2.0,0.0,5.0,6.0,0.0,6.0,0.0,2,0.5,0.4848,0.88,0.1,125.5893833441231
14,1.0,1.0,2.0,2.0,0.0,3.0,1.0,1,0.02,0.4394,0.44,0.0,73.62562895060279
1,4.0,1.0,11.0,2.0,0.0,4.0,1.0,1,0.32,0.3333,0.66,0.1,55.32250852959735
23,1.0,0.0,12.0,3.0,0.0,5.0,1.0,3,0.38,0.3939,0.94,0.1,87.24637870157396
31,2.0,1.0,3.0,5.0,0.0,6.0,0.0,1,0.4,0.4091,0.82,0.2,114.56287720992071
13,1.0,0.0,1.0,11.0,0.0,4.0,1.0,2,0.2,0.1667,0.44,0.4,118.92665571394677
10,4.0,1.0,10.0,2.0,0.0,3.0,1.0,2,0.46,0.4545,0.88,0.0,44.33018259432713
12,1.0,1.0,2.0,5.0,0.0,0.0,0.0,1,0.1,0.0758,0.49,0.4,83.11379848273236
1,1.0,1.0,1.0,20.0,0.0,0.0,0.0,2,0.46,0.4394,0.62,0.3,49.783799423116726
14,2.0,0.0,6.0,3.0,0.0,2.0,1.0,1,0.58,0.5455,0.53,0.3,100.92462927669459
30,4.0,1.0,9.0,23.0,0.0,0.0,0.0,1,0.48,0.4697,0.72,0.1,42.52486490286115
22,3.0,0.0,8.0,3.0,0.0,1.0,1.0,3,0.7,0.6515,0.65,0.1,135.62111515984125
16,4.0,0.0,10.0,5.0,0.0,0.0,0.0,1,0.42,0.4242,0.54,0.2,101.86385746512171
8,1.0,1.0,2.0,2.0,0.0,3.0,1.0,1,0.26,0.303,0.65,0.0,49.62135186093156
1,1.0,1.0,1.0,20.0,0.0,0.0,0.0,2,0.44,0.4394,0.62,0.3,48.127178465159375
16,4.0,1.0,10.0,2.0,0.0,2.0,1.0,1,0.44,0.4394,0.67,0.1,65.01313004662812
12,3.0,0.0,9.0,6.0,0.0,1.0,1.0,1,0.56,0.5303,0.83,0.0,131.19444641104747
10,2.0,0.0,6.0,3.0,0.0,5.0,1.0,1,0.68,0.6364,0.69,0.2,66.59402441401141
16,2.0,1.0,5.0,3.0,0.0,3.0,1.0,1,0.56,0.5303,0.88,0.1,135.65731602151277
15,1.0,1.0,1.0,4.0,0.0,0.0,0.0,2,0.16,0.1364,0.47,0.4,48.845620371666534
2,2.0,0.0,6.0,3.0,0.0,4.0,1.0,1,0.66,0.6212,0.44,0.1,99.29004240104075
31,1.0,0.0,12.0,18.0,0.0,6.0,0.0,1,0.42,0.4242,0.54,0.1,55.58041866551627
9,1.0,0.0,1.0,7.0,0.0,0.0,0.0,1,0.08,0.0909,0.53,0.2,67.19790386158746
12,4.0,0.0,10.0,3.0,0.0,3.0,1.0,3,0.54,0.5152,0.94,0.3,85.24450504610493
17,2.0,1.0,5.0,3.0,0.0,4.0,1.0,1,0.6,0.5909,0.73,0.3,139.46876117868726
7,2.0,0.0,6.0,3.0,0.0,2.0,1.0,1,0.6,0.5909,0.73,0.1,101.92066446010386
21,1.0,1.0,12.0,3.0,0.0,5.0,1.0,3,0.46,0.4545,0.94,0.4,138.8705386991564
30,4.0,1.0,11.0,2.0,0.0,5.0,1.0,1,0.24,0.2879,0.75,0.0,43.443379822666294
12,3.0,1.0,7.0,2.0,0.0,4.0,1.0,2,0.66,0.6212,0.65,0.1,40.89714819414514
10,3.0,0.0,8.0,3.0,0.0,3.0,1.0,1,0.7,0.6515,0.58,0.2,90.30720772701378
10,1.0,1.0,1.0,20.0,0.0,6.0,0.0,3,0.2,0.197,0.44,0.1,45.08931988175555
18,1.0,1.0,3.0,21.0,0.0,0.0,0.0,1,0.52,0.5,0.72,0.1,45.63226761950649
19,4.0,0.0,11.0,4.0,0.0,6.0,0.0,1,0.26,0.2273,0.48,0.3,52.328229330462015
10,3.0,1.0,9.0,2.0,0.0,1.0,1.0,1,0.54,0.5152,0.6,0.4,57.9980282187797
21,3.0,1.0,9.0,2.0,0.0,5.0,1.0,1,0.52,0.5,0.72,0.0,43.1288152606562
4,2.0,1.0,6.0,2.0,0.0,1.0,1.0,1,0.56,0.5303,0.6,0.2,50.388604458182535
2,1.0,0.0,2.0,4.0,0.0,3.0,1.0,3,0.22,0.2121,0.93,0.3,134.8800203372137
8,3.0,0.0,7.0,3.0,0.0,5.0,1.0,1,0.68,0.6364,0.79,0.1,58.1254957544406
15,3.0,0.0,7.0,3.0,0.0,5.0,1.0,1,0.6,0.5909,0.73,0.2,70.34587318302538
21,4.0,0.0,10.0,3.0,0.0,5.0,1.0,1,0.36,0.3485,0.71,0.1,90.1608053611587
15,3.0,0.0,7.0,3.0,0.0,5.0,1.0,1,0.6,0.5909,0.73,0.2,70.34587318302538
21,2.0,1.0,3.0,21.0,0.0,3.0,1.0,1,0.54,0.5152,0.83,0.1,40.36794007878069
19,3.0,0.0,7.0,3.0,0.0,2.0,1.0,1,0.72,0.6818,0.7,0.2,98.72487276681626
1,3.0,0.0,7.0,3.0,0.0,5.0,1.0,1,0.64,0.6212,0.53,0.0,73.86138691121786
24,4.0,0.0,10.0,2.0,0.0,1.0,1.0,1,0.4,0.4091,0.87,0.1,42.44376204324052
6,1.0,0.0,2.0,7.0,0.0,0.0,0.0,1,0.24,0.2424,0.65,0.2,85.13892246703776
4,4.0,1.0,11.0,4.0,0.0,0.0,0.0,1,0.26,0.2727,0.65,0.1,99.19791738538038
4,1.0,0.0,1.0,4.0,0.0,2.0,1.0,1,0.14,0.1818,0.63,0.1,129.72691247527396
24,2.0,1.0,3.0,5.0,0.0,6.0,0.0,2,0.52,0.5,0.83,0.2,111.82091274083427
4,1.0,1.0,1.0,20.0,0.0,3.0,1.0,2,0.2,0.197,0.4,0.2,44.68618809072211
13,1.0,1.0,1.0,2.0,0.0,5.0,1.0,1,0.4,0.4091,0.76,0.4,44.856056004427714
19,2.0,1.0,5.0,4.0,0.0,6.0,0.0,1,0.48,0.4697,0.59,0.1,91.66054378990721
16,1.0,0.0,1.0,7.0,0.0,0.0,0.0,2,0.24,0.2121,0.56,0.3,84.50600671594677
26,4.0,1.0,11.0,2.0,0.0,1.0,1.0,1,0.2,0.2576,0.69,0.0,79.47527612217843
23,3.0,0.0,6.0,3.0,0.0,4.0,1.0,2,0.72,0.697,0.74,0.2,65.44207707261012
9,4.0,1.0,12.0,4.0,0.0,0.0,0.0,2,0.4,0.4091,0.94,0.1,103.49152341199702
6,4.0,0.0,10.0,3.0,0.0,4.0,1.0,1,0.44,0.4394,0.67,0.2,90.91011247371068
4,1.0,1.0,2.0,5.0,0.0,6.0,0.0,1,0.24,0.2576,0.81,0.1,136.34800006565703
18,1.0,0.0,2.0,3.0,0.0,5.0,1.0,1,0.46,0.4545,0.67,0.3,62.17237302985698
27,3.0,1.0,6.0,2.0,0.0,3.0,1.0,1,0.56,0.5303,0.49,0.1,56.04531388984896
22,1.0,0.0,2.0,6.0,0.0,2.0,1.0,2,0.12,0.1212,0.8,0.3,126.72644776446403
7,4.0,0.0,11.0,2.0,0.0,1.0,1.0,1,0.32,0.3485,0.93,0.0,51.472141049818966
1,4.0,0.0,11.0,3.0,0.0,2.0,1.0,2,0.36,0.3485,0.81,0.1,120.78333706683556
7,1.0,0.0,1.0,4.0,0.0,5.0,1.0,2,0.2,0.2121,0.69,0.1,110.75287428732302
25,2.0,0.0,5.0,6.0,0.0,3.0,1.0,1,0.56,0.5303,0.94,0.1,141.7352964251058
10,1.0,1.0,2.0,21.0,0.0,5.0,1.0,2,0.32,0.3333,0.66,0.1,41.13692640086298
4,3.0,1.0,7.0,3.0,1.0,3.0,0.0,1,0.68,0.6364,0.74,0.2,86.42690637310619
19,2.0,1.0,6.0,7.0,0.0,2.0,1.0,4,0.62,0.5606,0.88,0.3,114.37730167647159
19,3.0,1.0,8.0,4.0,0.0,0.0,0.0,2,0.62,0.6061,0.65,0.2,41.14356400785436
31,3.0,0.0,8.0,3.0,0.0,3.0,1.0,1,0.56,0.5303,0.78,0.0,89.18008237944737
2,2.0,0.0,5.0,6.0,0.0,1.0,1.0,1,0.44,0.4394,0.88,0.1,100.12168607017655
28,2.0,0.0,4.0,4.0,0.0,4.0,1.0,2,0.62,0.5758,0.83,0.4,135.78905810473526
21,4.0,0.0,10.0,3.0,0.0,5.0,1.0,1,0.36,0.3485,0.71,0.1,90.1608053611587
11,2.0,0.0,5.0,2.0,0.0,3.0,1.0,1,0.52,0.5,0.59,0.0,41.785972082442136
6,1.0,0.0,3.0,8.0,0.0,0.0,0.0,2,0.4,0.4091,1.0,0.3,43.24720351443792
26,2.0,0.0,3.0,3.0,0.0,6.0,0.0,1,0.2,0.197,0.47,0.2,44.44104305170514
2,1.0,0.0,2.0,4.0,0.0,3.0,1.0,3,0.22,0.2121,0.93,0.3,134.8800203372137
17,2.0,1.0,5.0,3.0,0.0,4.0,1.0,1,0.6,0.5909,0.73,0.3,139.46876117868726
10,2.0,0.0,4.0,7.0,0.0,0.0,0.0,4,0.38,0.3939,0.94,0.1,124.32444992627529
17,2.0,0.0,6.0,3.0,0.0,5.0,1.0,1,0.68,0.5303,0.69,0.2,81.56715429985144
5,1.0,1.0,1.0,2.0,0.0,4.0,1.0,1,0.2,0.2273,0.51,0.1,40.59352353590191
2,3.0,0.0,9.0,6.0,0.0,5.0,1.0,1,0.6,0.5606,0.83,0.1,137.59394253859816
25,1.0,1.0,12.0,7.0,1.0,2.0,0.0,2,0.22,0.2273,0.93,0.2,65.63668846902713
3,1.0,0.0,2.0,3.0,0.0,4.0,1.0,1,0.18,0.1667,0.43,0.3,67.31075943513974
28,2.0,0.0,3.0,3.0,0.0,1.0,1.0,1,0.22,0.2273,0.44,0.2,90.19712038354496
6,1.0,1.0,3.0,2.0,0.0,2.0,1.0,1,0.2,0.197,0.44,0.2,68.83414232301959
9,1.0,1.0,2.0,2.0,0.0,4.0,1.0,1,0.22,0.2273,0.8,0.1,56.34430336601077
30,4.0,1.0,11.0,2.0,0.0,5.0,1.0,1,0.24,0.2879,0.75,0.0,43.443379822666294
13,2.0,1.0,4.0,2.0,0.0,5.0,1.0,1,0.34,0.3333,0.49,0.2,50.28957607956735
5,1.0,0.0,1.0,4.0,0.0,3.0,1.0,1,0.24,0.2273,0.48,0.2,111.1764093970634
1,3.0,1.0,7.0,5.0,0.0,0.0,0.0,3,0.64,0.6212,0.61,0.0,108.24061605865947
20,1.0,0.0,1.0,3.0,0.0,4.0,1.0,1,0.26,0.2576,0.56,0.2,54.87694986044902
4,1.0,0.0,3.0,3.0,0.0,5.0,1.0,2,0.18,0.1667,0.74,0.3,85.81649487730712
12,2.0,0.0,4.0,3.0,0.0,2.0,1.0,2,0.58,0.5455,0.56,0.1,100.00110735919625
19,4.0,1.0,12.0,2.0,0.0,3.0,1.0,1,0.28,0.303,0.65,0.1,62.5719959009194
25,4.0,1.0,9.0,2.0,0.0,2.0,1.0,1,0.42,0.4242,0.77,0.1,56.43950028031175
19,1.0,1.0,1.0,2.0,0.0,4.0,1.0,1,0.14,0.1515,0.5,0.1,47.35763971213758
31,1.0,1.0,1.0,2.0,0.0,2.0,1.0,1,0.3,0.2879,0.42,0.2,53.23349417177718
4,4.0,1.0,12.0,2.0,0.0,2.0,1.0,1,0.42,0.4242,0.88,0.1,52.116065456231816
28,2.0,0.0,3.0,3.0,0.0,1.0,1.0,1,0.22,0.2273,0.44,0.2,90.19712038354496
16,2.0,0.0,4.0,9.0,0.0,6.0,0.0,3,0.4,0.4091,1.0,0.3,91.87973437773817
8,1.0,1.0,1.0,19.0,0.0,0.0,0.0,1,0.32,0.3182,0.49,0.2,45.925523599124325
26,4.0,0.0,9.0,7.0,0.0,1.0,1.0,2,0.62,0.5455,0.94,0.0,69.38741647246574
19,1.0,0.0,2.0,3.0,0.0,6.0,0.0,1,0.42,0.4242,0.14,0.3,45.09224898205593
8,4.0,0.0,10.0,5.0,0.0,6.0,0.0,1,0.42,0.4242,0.88,0.1,67.24054744008566
19,3.0,0.0,9.0,3.0,0.0,1.0,1.0,2,0.5,0.4848,0.77,0.1,138.78669727552983
14,2.0,0.0,6.0,3.0,0.0,2.0,1.0,1,0.58,0.5455,0.53,0.3,100.92462927669459
27,2.0,0.0,5.0,3.0,0.0,5.0,1.0,1,0.66,0.6212,0.65,0.1,75.96698939144221
11,4.0,1.0,12.0,2.0,0.0,2.0,1.0,2,0.44,0.4394,0.88,0.3,46.44341326760909
14,3.0,1.0,7.0,5.0,0.0,6.0,0.0,2,0.64,0.6061,0.73,0.1,141.91024273609116
25,4.0,0.0,9.0,6.0,0.0,6.0,0.0,1,0.02,0.4242,0.94,0.2,120.22918471633079
17,1.0,1.0,2.0,2.0,0.0,5.0,1.0,2,0.3,0.3182,0.93,0.1,47.5625650097621
20,3.0,0.0,7.0,3.0,0.0,3.0,1.0,1,0.7,0.6667,0.84,0.1,69.9718527382559
7,1.0,0.0,2.0,3.0,0.0,1.0,1.0,1,0.2,0.2576,0.86,0.0,92.97306570576781
26,1.0,0.0,2.0,3.0,0.0,6.0,0.0,1,0.22,0.2273,0.55,0.1,42.77956770357072
12,1.0,0.0,1.0,7.0,0.0,3.0,1.0,1,0.14,0.1515,0.69,0.1,81.46225250380058
30,3.0,1.0,6.0,5.0,0.0,6.0,0.0,1,0.64,0.5758,0.89,0.2,111.31629118921711
10,2.0,1.0,5.0,3.0,0.0,4.0,1.0,1,0.46,0.4545,0.88,0.2,140.15210077834453
20,4.0,0.0,11.0,6.0,0.0,0.0,0.0,2,0.42,0.4242,0.67,0.3,187.82927990250948
14,4.0,1.0,12.0,3.0,0.0,5.0,1.0,1,0.2,0.2273,0.69,0.1,190.60255088214996
14,4.0,0.0,10.0,4.0,0.0,5.0,1.0,1,0.56,0.5303,0.94,0.2,187.7480405288604
11,4.0,0.0,12.0,6.0,0.0,0.0,0.0,1,0.16,0.2121,0.59,0.0,176.29477402582063
10,4.0,0.0,10.0,18.0,1.0,1.0,0.0,2,0.64,0.6212,0.53,0.0,162.21406072094962
5,1.0,1.0,2.0,7.0,0.0,0.0,0.0,2,0.24,0.2424,0.75,0.2,249.20106918649122
7,1.0,1.0,3.0,3.0,0.0,3.0,1.0,1,0.3,0.2727,0.56,0.4,258.16757117866973
10,3.0,0.0,7.0,6.0,0.0,0.0,0.0,1,0.64,0.5909,0.78,0.1,154.7503249574476
13,1.0,1.0,1.0,3.0,0.0,0.0,1.0,2,0.02,0.4545,0.88,0.1,258.87334967304474
15,2.0,1.0,5.0,3.0,0.0,2.0,1.0,3,0.58,0.5455,0.83,0.1,157.4786024329938
20,1.0,1.0,2.0,3.0,1.0,1.0,0.0,2,0.24,0.2273,0.81,0.2,221.1807639587637
18,4.0,1.0,12.0,3.0,0.0,2.0,1.0,1,0.42,0.4242,0.88,0.2,252.33890259641197
10,1.0,1.0,1.0,17.0,0.0,2.0,1.0,1,0.42,0.4242,0.38,0.3,172.05879579398942
11,3.0,1.0,9.0,3.0,0.0,2.0,1.0,1,0.48,0.4697,0.67,0.1,273.92305146467504
18,2.0,1.0,5.0,3.0,0.0,5.0,1.0,1,0.46,0.4545,0.72,0.1,190.58804904529626
9,2.0,1.0,4.0,18.0,0.0,1.0,1.0,1,0.54,0.5152,0.34,0.3,156.10905074802463
27,2.0,1.0,5.0,5.0,0.0,0.0,0.0,1,0.62,0.5758,0.83,0.2,187.9964856917376
3,2.0,1.0,5.0,3.0,0.0,4.0,1.0,2,0.46,0.4545,0.88,0.0,156.4399933131916
2,4.0,0.0,10.0,5.0,0.0,0.0,0.0,1,0.32,0.303,0.87,0.3,184.3145208112706
8,2.0,1.0,5.0,3.0,0.0,2.0,1.0,2,0.52,0.5,0.68,0.3,190.26306768216023
18,2.0,1.0,6.0,3.0,0.0,1.0,1.0,2,0.52,0.5,0.83,0.2,177.98938070123174
18,1.0,1.0,2.0,18.0,0.0,6.0,0.0,1,0.46,0.4545,0.38,0.3,153.1035668161173
4,4.0,1.0,12.0,3.0,0.0,2.0,1.0,2,0.4,0.4091,0.87,0.1,259.1169464336081
15,3.0,1.0,8.0,3.0,0.0,3.0,1.0,1,0.66,0.6212,0.74,0.1,216.95387811341595
15,1.0,1.0,3.0,3.0,0.0,4.0,1.0,1,0.5,0.4848,0.63,0.0,167.79645271529918
9,4.0,0.0,11.0,6.0,0.0,3.0,1.0,1,0.3,0.3333,0.87,0.0,194.95311018677518
7,2.0,0.0,5.0,6.0,0.0,6.0,0.0,1,0.42,0.4242,0.77,0.1,156.27811111437578
29,1.0,1.0,2.0,3.0,0.0,3.0,1.0,1,0.28,0.303,0.7,0.1,221.41295169064105
1,4.0,1.0,11.0,3.0,0.0,4.0,1.0,1,0.34,0.3333,0.61,0.1,238.27259283166183
21,1.0,0.0,12.0,3.0,0.0,3.0,1.0,2,0.36,0.3788,0.71,0.0,159.8415592067771
18,1.0,0.0,3.0,6.0,0.0,5.0,1.0,1,0.4,0.4091,0.66,0.2,256.21480769693073
7,1.0,0.0,1.0,11.0,0.0,5.0,1.0,2,0.2,0.197,0.4,0.2,181.44866475626833
10,4.0,1.0,10.0,3.0,0.0,3.0,1.0,2,0.46,0.4545,0.88,0.0,218.56008107229053
19,1.0,1.0,2.0,5.0,0.0,0.0,0.0,2,0.26,0.2273,0.48,0.3,147.64934641477655
30,1.0,1.0,1.0,17.0,0.0,1.0,1.0,1,0.36,0.3485,0.21,0.2,145.47739326942744
26,3.0,1.0,6.0,3.0,0.0,2.0,1.0,1,0.54,0.5152,0.45,0.3,264.40136689644396
3,4.0,1.0,12.0,18.0,0.0,1.0,1.0,1,0.5,0.4848,0.68,0.1,156.61919607921251
20,3.0,1.0,8.0,3.0,0.0,1.0,1.0,1,0.6,0.5455,0.88,0.1,212.25030130928053
16,4.0,0.0,10.0,6.0,0.0,0.0,0.0,1,0.38,0.3939,0.66,0.2,220.8718515624843
8,1.0,1.0,2.0,3.0,0.0,3.0,1.0,1,0.26,0.303,0.65,0.0,211.35244749968203
10,1.0,1.0,1.0,17.0,0.0,2.0,1.0,1,0.42,0.4242,0.38,0.3,172.05879579398942
23,4.0,1.0,10.0,3.0,0.0,2.0,1.0,1,0.44,0.4394,0.77,0.1,261.30564595364376
27,3.0,1.0,8.0,6.0,0.0,1.0,1.0,1,0.62,0.5606,0.88,0.0,236.00612187669626
10,2.0,0.0,6.0,4.0,0.0,5.0,1.0,1,0.66,0.6061,0.78,0.2,157.91702121849286
2,2.0,1.0,5.0,3.0,0.0,3.0,1.0,1,0.56,0.5303,0.83,0.1,151.41289883329657
22,1.0,1.0,1.0,5.0,0.0,0.0,0.0,3,0.16,0.1515,0.74,0.2,144.02378831773035
2,2.0,0.0,6.0,4.0,0.0,4.0,1.0,1,0.66,0.6212,0.41,0.2,233.27694604444014
15,4.0,1.0,12.0,17.0,0.0,6.0,0.0,1,0.4,0.4091,0.5,0.2,148.23399923981913
29,1.0,1.0,1.0,7.0,0.0,0.0,0.0,1,0.2,0.2121,0.37,0.1,240.42295201720697
19,4.0,0.0,10.0,4.0,0.0,3.0,1.0,3,0.5,0.4848,0.94,0.2,229.70647658025183
14,2.0,1.0,6.0,3.0,0.0,4.0,1.0,2,0.62,0.6212,0.53,0.3,167.35496664294152
19,2.0,1.0,6.0,3.0,0.0,2.0,1.0,2,0.6,0.5758,0.78,0.1,200.58474066288449
27,1.0,1.0,12.0,6.0,0.0,4.0,1.0,1,0.24,0.197,0.7,0.5,209.09046495065712
30,4.0,1.0,11.0,3.0,0.0,5.0,1.0,1,0.24,0.2879,0.75,0.0,195.71111726396998
2,3.0,1.0,8.0,3.0,0.0,4.0,1.0,1,0.66,0.6061,0.83,0.0,184.62963587467624
29,3.0,1.0,8.0,3.0,0.0,3.0,1.0,1,0.62,0.5909,0.73,0.1,225.89697020545577
7,1.0,1.0,1.0,18.0,0.0,6.0,0.0,1,0.54,0.5152,0.45,0.1,149.4952372674329
30,1.0,1.0,1.0,17.0,0.0,1.0,1.0,1,0.36,0.3485,0.21,0.2,145.47739326942744
18,4.0,0.0,11.0,4.0,0.0,5.0,1.0,1,0.22,0.2273,0.44,0.2,222.16102861109613
24,4.0,0.0,10.0,3.0,0.0,1.0,1.0,1,0.4,0.4091,0.82,0.1,147.06471263414335
21,3.0,1.0,9.0,3.0,0.0,5.0,1.0,1,0.5,0.4848,0.77,0.1,188.20283091036345
5,2.0,1.0,6.0,3.0,0.0,2.0,1.0,3,0.5,0.4848,0.82,0.2,180.50323427422794
2,1.0,1.0,2.0,3.0,0.0,4.0,1.0,2,0.42,0.4242,0.67,0.1,188.2808476248607
8,3.0,0.0,7.0,4.0,0.0,5.0,1.0,1,0.7,0.6667,0.79,0.3,163.89618273805166
15,3.0,0.0,7.0,4.0,0.0,5.0,1.0,1,0.6,0.5909,0.73,0.2,180.8556691598035
2,4.0,1.0,11.0,3.0,0.0,5.0,1.0,1,0.3,0.303,0.7,0.2,200.76111499353925
27,3.0,1.0,7.0,3.0,0.0,5.0,1.0,1,0.7,0.6667,0.74,0.2,149.05314821669805
15,1.0,1.0,3.0,18.0,0.0,4.0,1.0,1,0.66,0.6212,0.44,0.3,142.9421107031559
18,3.0,1.0,7.0,3.0,0.0,3.0,1.0,1,0.74,0.697,0.66,0.1,194.0152058990865
1,3.0,0.0,7.0,4.0,0.0,5.0,1.0,1,0.62,0.6212,0.57,0.0,195.46248064380276
3,4.0,0.0,10.0,3.0,0.0,1.0,1.0,1,0.36,0.3788,0.81,0.0,164.34027426667888
